,corpusid,class
0,14182996,4
1,14182996,4
2,14758721,4
3,14758721,4
4,119407066,4
5,119407066,4
6,174801764,4
7,174801764,4
8,199668753,4
9,202539540,4
10,202572622,4
11,207847382,4
12,207847382,4
13,207917676,4
14,211010545,4
15,212747830,4
16,214802134,4
17,215238846,4
18,218487288,4
19,218487535,4
20,219965751,4
21,219965751,4
22,220483148,4
23,221978039,4
24,222272049,4
25,222272049,4
26,226743717,4
27,226743717,4
28,231698419,4
29,231698419,4
30,232307813,4
31,232307813,4
32,233168843,4
33,233168843,4
34,233296243,4
35,233296336,4
36,233444226,4
37,234334398,4
38,234790338,4
39,236459821,4
40,236478213,4
41,238419458,4
42,238744411,4
43,239009558,4
44,239016681,4
45,239016681,4
46,239998631,4
47,239998631,4
48,243756815,4
49,246294995,4
50,246652372,4
51,248227734,4
52,248266450,4
53,248780313,4
54,248780313,4
55,248987702,4
56,249018129,4
57,249062748,4
58,249062748,4
59,250729995,4
60,250729995,4
61,251224058,4
62,252819325,4
63,252907685,4
64,253080893,4
65,253080893,4
66,253098276,4
67,253098851,4
68,253510370,4
69,253510370,4
70,253553165,4
71,254854519,4
72,256460927,4
73,256461282,4
74,256662612,4
75,258179336,4
76,258179336,4
77,258378353,4
78,258615193,4
79,258714968,4
80,258832937,4
81,258841328,4
82,258865346,4
83,258959258,4
84,263787121,4
85,51940842,1
86,51940842,1
87,53116244,1
88,53116244,1
89,128344862,1
90,155100120,1
91,165163607,1
92,202539540,1
93,207756753,1
94,207756753,1
95,207852944,1
96,210859295,1
97,211572791,1
98,212747830,1
99,214802134,1
100,215238360,1
101,216868500,1
102,221978039,1
103,222067190,1
104,222208994,1
105,225066758,1
106,228375214,1
107,230770437,1
108,230770437,1
109,232269988,1
110,232269988,1
111,233189566,1
112,233296201,1
113,233296243,1
114,233297024,1
115,234093776,1
116,234742165,1
117,234742165,1
118,234790338,1
119,235313508,1
120,236771976,1
121,237485084,1
122,237513875,1
123,237532313,1
124,238419458,1
125,238856994,1
126,239009558,1
127,243860761,1
128,243860761,1
129,244896105,1
130,244896105,1
131,245218668,1
132,245329570,1
133,245769925,1
134,245769925,1
135,246015349,1
136,246904646,1
137,246904646,1
138,247158312,1
139,247447562,1
140,247450518,1
141,247476296,1
142,247748606,1
143,248512744,1
144,248780551,1
145,248986718,1
146,248987702,1
147,249049410,1
148,249062558,1
149,249062558,1
150,249847776,1
151,249848272,1
152,250390431,1
153,251224058,1
154,252693442,1
155,252816088,1
156,252819325,1
157,252907685,1
158,252918165,1
159,252918345,1
160,253018834,1
161,253018834,1
162,253244513,1
163,253553165,1
164,254017497,1
165,254853816,1
166,254854519,1
167,254877586,1
168,256274941,1
169,256627673,1
170,256662612,1
171,256827065,1
172,258332119,1
173,258332119,1
174,258378353,1
175,258832937,1
176,258865346,1
177,258959258,1
178,128344862,2
179,155100120,2
180,174799117,2
181,207917676,2
182,211572791,2
183,213474484,2
184,216868500,2
185,222067190,2
186,222208994,2
187,225066758,2
188,230433817,2
189,232307160,2
190,233297024,2
191,236477336,2
192,236486285,2
193,237485084,2
194,237502990,2
195,238744411,2
196,244119330,2
197,245329570,2
198,247187956,2
199,247476426,2
200,247594811,2
201,247748606,2
202,248227734,2
203,248512744,2
204,248563058,2
205,248780378,2
206,249049410,2
207,252693442,2
208,253157979,2
209,256274941,2
210,258546701,2
211,258987734,2
212,261681729,2
213,158046817,0
214,158046817,0
215,202539031,0
216,202539031,0
217,202542881,0
218,202572622,0
219,207847640,0
220,207847640,0
221,208000835,0
222,208000835,0
223,211258645,0
224,215238360,0
225,216553833,0
226,218469981,0
227,218469981,0
228,218486765,0
229,218516694,0
230,218516694,0
231,218595722,0
232,218595722,0
233,219978758,0
234,219978758,0
235,220445474,0
236,220445474,0
237,221292890,0
238,221292890,0
239,221507798,0
240,221507798,0
241,225311514,0
242,226236740,0
243,226236844,0
244,226236844,0
245,226254024,0
246,226254024,0
247,226262339,0
248,227231636,0
249,228375214,0
250,229923926,0
251,229923926,0
252,230433817,0
253,231847375,0
254,231847375,0
255,233189566,0
256,233189637,0
257,233296336,0
258,233444226,0
259,234334398,0
260,234479457,0
261,234741852,0
262,235293903,0
263,235293903,0
264,235352906,0
265,235435668,0
266,235485084,0
267,235485084,0
268,236477336,0
269,236486285,0
270,237048095,0
271,237502990,0
272,238198206,0
273,238198206,0
274,238744031,0
275,239009856,0
276,239009856,0
277,239016079,0
278,239016730,0
279,239016730,0
280,243756815,0
281,244800755,0
282,244800755,0
283,245144556,0
284,245144556,0
285,245334850,0
286,245334850,0
287,245634501,0
288,245634501,0
289,246652372,0
290,246863799,0
291,247158054,0
292,247158054,0
293,247158312,0
294,247158553,0
295,247158553,0
296,247292088,0
297,247292369,0
298,247450518,0
299,247476296,0
300,248563058,0
301,248571884,0
302,248572452,0
303,248665596,0
304,248665596,0
305,248780378,0
306,248780551,0
307,249018129,0
308,249062555,0
309,249062555,0
310,249848272,0
311,250390665,0
312,250390946,0
313,250390947,0
314,250526133,0
315,250526133,0
316,250562913,0
317,250562913,0
318,252816088,0
319,252917981,0
320,252917981,0
321,252918165,0
322,252918345,0
323,253098174,0
324,253098276,0
325,253098647,0
326,253098647,0
327,253255229,0
328,253255229,0
329,253761592,0
330,253761592,0
331,254853816,0
332,255545881,0
333,255545881,0
334,255546131,0
335,255546131,0
336,256231203,0
337,256231203,0
338,256358906,0
339,256460927,0
340,256827305,0
341,256827818,0
342,256827818,0
343,257353502,0
344,258378227,0
345,258378227,0
346,258546861,0
347,258546861,0
348,258615193,0
349,258686160,0
350,258686160,0
351,258823156,0
352,258865162,0
353,258865288,0
354,258959022,0
355,258959022,0
356,258987734,0
357,260440449,0
358,260440449,0
359,260682258,0
360,260682258,0
361,263310649,0
362,263310649,0
363,263787121,0
364,165163607,3
365,174799117,3
366,199668753,3
367,202542881,3
368,203836061,3
369,203836061,3
370,207852944,3
371,208267807,3
372,208267807,3
373,210859295,3
374,211010545,3
375,211258645,3
376,213474484,3
377,215238846,3
378,216553833,3
379,218486765,3
380,218487288,3
381,218487535,3
382,220483148,3
383,224803601,3
384,224803601,3
385,225311514,3
386,226236740,3
387,226262208,3
388,226262208,3
389,226262339,3
390,227231636,3
391,231632353,3
392,231632353,3
393,232075995,3
394,232075995,3
395,232307160,3
396,233189637,3
397,233296201,3
398,234093776,3
399,234479457,3
400,234741852,3
401,235313508,3
402,235352906,3
403,235435668,3
404,235742855,3
405,235742855,3
406,236459821,3
407,236478213,3
408,236771976,3
409,237048095,3
410,237415234,3
411,237415234,3
412,237513875,3
413,237532313,3
414,237592852,3
415,237592852,3
416,237605111,3
417,237605111,3
418,238744031,3
419,238856994,3
420,239016079,3
421,241583517,3
422,241583517,3
423,244119330,3
424,244346065,3
425,244346065,3
426,245218668,3
427,246015349,3
428,246294995,3
429,246863799,3
430,247187956,3
431,247292088,3
432,247292369,3
433,247447562,3
434,247476426,3
435,247518855,3
436,247518855,3
437,247593883,3
438,247593883,3
439,247594811,3
440,248266450,3
441,248426967,3
442,248426967,3
443,248427125,3
444,248427125,3
445,248476204,3
446,248476204,3
447,248571884,3
448,248572452,3
449,248986718,3
450,249847776,3
451,250390431,3
452,250390665,3
453,250390946,3
454,250390947,3
455,252383151,3
456,252383151,3
457,252407569,3
458,252407569,3
459,252532175,3
460,252532175,3
461,252873630,3
462,252873630,3
463,253098174,3
464,253098851,3
465,253157979,3
466,253244513,3
467,254017497,3
468,254877586,3
469,256358906,3
470,256461282,3
471,256627673,3
472,256827065,3
473,256827305,3
474,257353502,3
475,257642038,3
476,257642038,3
477,258546701,3
478,258714968,3
479,258822815,3
480,258822815,3
481,258823156,3
482,258841328,3
483,258865162,3
484,258865288,3
485,258865636,3
486,258865636,3
487,261681729,3
